nohup: ignoring input
epoch 0 loss: 68824504.0
epoch 1 loss: 59410212.0
epoch 2 loss: 37616760.0
epoch 3 loss: 14812998.0
epoch 4 loss: 22762652.0
epoch 5 loss: 31567364.0
epoch 6 loss: 37535724.0
epoch 7 loss: 39814364.0
epoch 8 loss: 38306984.0
epoch 9 loss: 33141478.0
epoch 10 loss: 24469356.0
epoch 11 loss: 13606052.0
epoch 12 loss: 10071934.0
epoch 13 loss: 17558750.0
epoch 14 loss: 22146580.0
epoch 15 loss: 19284354.0
epoch 16 loss: 10956212.0
epoch 17 loss: 3988188.25
epoch 18 loss: 5619518.5
epoch 19 loss: 9999593.0
epoch 20 loss: 10956090.0
epoch 21 loss: 8031646.5
epoch 22 loss: 3707665.75
epoch 23 loss: 2728551.75
epoch 24 loss: 4711428.0
epoch 25 loss: 6274855.5
epoch 26 loss: 6254015.5
epoch 27 loss: 5057655.5
epoch 28 loss: 3691864.25
epoch 29 loss: 3080278.75
epoch 30 loss: 3391616.5
epoch 31 loss: 3941016.75
epoch 32 loss: 3964516.25
epoch 33 loss: 3333214.75
epoch 34 loss: 2516363.75
epoch 35 loss: 2044203.875
epoch 36 loss: 2041924.75
epoch 37 loss: 2238345.75
epoch 38 loss: 2294981.25
epoch 39 loss: 2083578.125
epoch 40 loss: 1750070.25
epoch 41 loss: 1559465.625
epoch 42 loss: 1626524.875
epoch 43 loss: 1784053.75
epoch 44 loss: 1772583.0
epoch 45 loss: 1539423.375
epoch 46 loss: 1272054.75
epoch 47 loss: 1160543.125
epoch 48 loss: 1208406.75
epoch 49 loss: 1277762.875
epoch 50 loss: 1253620.75
epoch 51 loss: 1141448.125
epoch 52 loss: 1032892.625
epoch 53 loss: 996487.5625
epoch 54 loss: 1008907.125
epoch 55 loss: 997072.0625
epoch 56 loss: 931232.5
epoch 57 loss: 853233.125
epoch 58 loss: 817396.6875
epoch 59 loss: 827683.6875
epoch 60 loss: 841860.625
epoch 61 loss: 823107.0
epoch 62 loss: 775578.0625
epoch 63 loss: 732377.1875
epoch 64 loss: 716338.25
epoch 65 loss: 717793.5
epoch 66 loss: 711175.9375
epoch 67 loss: 686709.4375
epoch 68 loss: 658620.5
epoch 69 loss: 644337.25
epoch 70 loss: 643719.4375
epoch 71 loss: 641908.75
epoch 72 loss: 628133.625
epoch 73 loss: 606858.125
epoch 74 loss: 590458.4375
epoch 75 loss: 584350.125
epoch 76 loss: 582245.4375
epoch 77 loss: 575448.25
epoch 78 loss: 563229.3125
epoch 79 loss: 551946.375
epoch 80 loss: 545993.6875
epoch 81 loss: 542844.1875
epoch 82 loss: 537238.4375
epoch 83 loss: 527890.8125
epoch 84 loss: 518450.8125
epoch 85 loss: 512566.71875
epoch 86 loss: 509691.71875
epoch 87 loss: 506391.0
epoch 88 loss: 500727.15625
epoch 89 loss: 494080.40625
epoch 90 loss: 488762.90625
epoch 91 loss: 485061.75
epoch 92 loss: 481318.5625
epoch 93 loss: 476336.28125
epoch 94 loss: 470793.8125
epoch 95 loss: 466152.6875
