nohup: ignoring input
0 tensor(7.2606, device='cuda:2', grad_fn=<MeanBackward0>)
1 tensor(7.1931, device='cuda:2', grad_fn=<MeanBackward0>)
2 tensor(7.1545, device='cuda:2', grad_fn=<MeanBackward0>)
3 tensor(7.1331, device='cuda:2', grad_fn=<MeanBackward0>)
4 tensor(7.1182, device='cuda:2', grad_fn=<MeanBackward0>)
5 tensor(7.1071, device='cuda:2', grad_fn=<MeanBackward0>)
6 tensor(7.0987, device='cuda:2', grad_fn=<MeanBackward0>)
7 tensor(7.0921, device='cuda:2', grad_fn=<MeanBackward0>)
8 tensor(7.0864, device='cuda:2', grad_fn=<MeanBackward0>)
9 tensor(7.0815, device='cuda:2', grad_fn=<MeanBackward0>)
10 tensor(7.0772, device='cuda:2', grad_fn=<MeanBackward0>)
11 tensor(7.0734, device='cuda:2', grad_fn=<MeanBackward0>)
12 tensor(7.0700, device='cuda:2', grad_fn=<MeanBackward0>)
13 tensor(7.0667, device='cuda:2', grad_fn=<MeanBackward0>)
14 tensor(7.0636, device='cuda:2', grad_fn=<MeanBackward0>)
15 tensor(7.0606, device='cuda:2', grad_fn=<MeanBackward0>)
16 tensor(7.0578, device='cuda:2', grad_fn=<MeanBackward0>)
17 tensor(7.0551, device='cuda:2', grad_fn=<MeanBackward0>)
18 tensor(7.0525, device='cuda:2', grad_fn=<MeanBackward0>)
19 tensor(7.0500, device='cuda:2', grad_fn=<MeanBackward0>)
20 tensor(7.0475, device='cuda:2', grad_fn=<MeanBackward0>)
21 tensor(7.0452, device='cuda:2', grad_fn=<MeanBackward0>)
22 tensor(7.0429, device='cuda:2', grad_fn=<MeanBackward0>)
23 tensor(7.0408, device='cuda:2', grad_fn=<MeanBackward0>)
24 tensor(7.0387, device='cuda:2', grad_fn=<MeanBackward0>)
25 tensor(7.0366, device='cuda:2', grad_fn=<MeanBackward0>)
26 tensor(7.0346, device='cuda:2', grad_fn=<MeanBackward0>)
27 tensor(7.0326, device='cuda:2', grad_fn=<MeanBackward0>)
28 tensor(7.0306, device='cuda:2', grad_fn=<MeanBackward0>)
29 tensor(7.0287, device='cuda:2', grad_fn=<MeanBackward0>)
30 tensor(7.0268, device='cuda:2', grad_fn=<MeanBackward0>)
31 tensor(7.0250, device='cuda:2', grad_fn=<MeanBackward0>)
32 tensor(7.0232, device='cuda:2', grad_fn=<MeanBackward0>)
33 tensor(7.0214, device='cuda:2', grad_fn=<MeanBackward0>)
34 tensor(7.0196, device='cuda:2', grad_fn=<MeanBackward0>)
35 tensor(7.0178, device='cuda:2', grad_fn=<MeanBackward0>)
36 tensor(7.0161, device='cuda:2', grad_fn=<MeanBackward0>)
37 tensor(7.0144, device='cuda:2', grad_fn=<MeanBackward0>)
38 tensor(7.0127, device='cuda:2', grad_fn=<MeanBackward0>)
39 tensor(7.0110, device='cuda:2', grad_fn=<MeanBackward0>)
40 tensor(7.0094, device='cuda:2', grad_fn=<MeanBackward0>)
41 tensor(7.0077, device='cuda:2', grad_fn=<MeanBackward0>)
42 tensor(7.0061, device='cuda:2', grad_fn=<MeanBackward0>)
43 tensor(7.0045, device='cuda:2', grad_fn=<MeanBackward0>)
44 tensor(7.0028, device='cuda:2', grad_fn=<MeanBackward0>)
45 tensor(7.0012, device='cuda:2', grad_fn=<MeanBackward0>)
46 tensor(6.9996, device='cuda:2', grad_fn=<MeanBackward0>)
47 tensor(6.9981, device='cuda:2', grad_fn=<MeanBackward0>)
48 tensor(6.9965, device='cuda:2', grad_fn=<MeanBackward0>)
49 tensor(6.9949, device='cuda:2', grad_fn=<MeanBackward0>)
50 tensor(6.9933, device='cuda:2', grad_fn=<MeanBackward0>)
51 tensor(6.9918, device='cuda:2', grad_fn=<MeanBackward0>)
52 tensor(6.9902, device='cuda:2', grad_fn=<MeanBackward0>)
53 tensor(6.9887, device='cuda:2', grad_fn=<MeanBackward0>)
54 tensor(6.9872, device='cuda:2', grad_fn=<MeanBackward0>)
55 tensor(6.9856, device='cuda:2', grad_fn=<MeanBackward0>)
56 tensor(6.9841, device='cuda:2', grad_fn=<MeanBackward0>)
57 tensor(6.9826, device='cuda:2', grad_fn=<MeanBackward0>)
58 tensor(6.9811, device='cuda:2', grad_fn=<MeanBackward0>)
59 tensor(6.9796, device='cuda:2', grad_fn=<MeanBackward0>)
60 tensor(6.9781, device='cuda:2', grad_fn=<MeanBackward0>)
61 tensor(6.9766, device='cuda:2', grad_fn=<MeanBackward0>)
62 tensor(6.9751, device='cuda:2', grad_fn=<MeanBackward0>)
63 tensor(6.9736, device='cuda:2', grad_fn=<MeanBackward0>)
64 tensor(6.9721, device='cuda:2', grad_fn=<MeanBackward0>)
65 tensor(6.9707, device='cuda:2', grad_fn=<MeanBackward0>)
66 tensor(6.9692, device='cuda:2', grad_fn=<MeanBackward0>)
67 tensor(6.9677, device='cuda:2', grad_fn=<MeanBackward0>)
68 tensor(6.9662, device='cuda:2', grad_fn=<MeanBackward0>)
69 tensor(6.9647, device='cuda:2', grad_fn=<MeanBackward0>)
70 tensor(6.9633, device='cuda:2', grad_fn=<MeanBackward0>)
71 tensor(6.9618, device='cuda:2', grad_fn=<MeanBackward0>)
72 tensor(6.9603, device='cuda:2', grad_fn=<MeanBackward0>)
73 tensor(6.9589, device='cuda:2', grad_fn=<MeanBackward0>)
74 tensor(6.9574, device='cuda:2', grad_fn=<MeanBackward0>)
75 tensor(6.9560, device='cuda:2', grad_fn=<MeanBackward0>)
76 tensor(6.9545, device='cuda:2', grad_fn=<MeanBackward0>)
77 tensor(6.9531, device='cuda:2', grad_fn=<MeanBackward0>)
78 tensor(6.9516, device='cuda:2', grad_fn=<MeanBackward0>)
79 tensor(6.9502, device='cuda:2', grad_fn=<MeanBackward0>)
80 tensor(6.9488, device='cuda:2', grad_fn=<MeanBackward0>)
81 tensor(6.9473, device='cuda:2', grad_fn=<MeanBackward0>)
82 tensor(6.9459, device='cuda:2', grad_fn=<MeanBackward0>)
83 tensor(6.9445, device='cuda:2', grad_fn=<MeanBackward0>)
84 tensor(6.9431, device='cuda:2', grad_fn=<MeanBackward0>)
85 tensor(6.9417, device='cuda:2', grad_fn=<MeanBackward0>)
86 tensor(6.9403, device='cuda:2', grad_fn=<MeanBackward0>)
87 tensor(6.9389, device='cuda:2', grad_fn=<MeanBackward0>)
88 tensor(6.9375, device='cuda:2', grad_fn=<MeanBackward0>)
89 tensor(6.9361, device='cuda:2', grad_fn=<MeanBackward0>)
90 tensor(6.9347, device='cuda:2', grad_fn=<MeanBackward0>)
91 tensor(6.9333, device='cuda:2', grad_fn=<MeanBackward0>)
92 tensor(6.9319, device='cuda:2', grad_fn=<MeanBackward0>)
93 tensor(6.9305, device='cuda:2', grad_fn=<MeanBackward0>)
94 tensor(6.9291, device='cuda:2', grad_fn=<MeanBackward0>)
95 tensor(6.9277, device='cuda:2', grad_fn=<MeanBackward0>)
96 tensor(6.9264, device='cuda:2', grad_fn=<MeanBackward0>)
97 tensor(6.9250, device='cuda:2', grad_fn=<MeanBackward0>)
98 tensor(6.9236, device='cuda:2', grad_fn=<MeanBackward0>)
99 tensor(6.9222, device='cuda:2', grad_fn=<MeanBackward0>)
100 tensor(6.9208, device='cuda:2', grad_fn=<MeanBackward0>)
101 tensor(6.9195, device='cuda:2', grad_fn=<MeanBackward0>)
102 tensor(6.9181, device='cuda:2', grad_fn=<MeanBackward0>)
103 tensor(6.9167, device='cuda:2', grad_fn=<MeanBackward0>)
104 tensor(6.9154, device='cuda:2', grad_fn=<MeanBackward0>)
105 tensor(6.9140, device='cuda:2', grad_fn=<MeanBackward0>)
106 tensor(6.9127, device='cuda:2', grad_fn=<MeanBackward0>)
107 tensor(6.9113, device='cuda:2', grad_fn=<MeanBackward0>)
108 tensor(6.9100, device='cuda:2', grad_fn=<MeanBackward0>)
109 tensor(6.9086, device='cuda:2', grad_fn=<MeanBackward0>)
110 tensor(6.9073, device='cuda:2', grad_fn=<MeanBackward0>)
111 tensor(6.9059, device='cuda:2', grad_fn=<MeanBackward0>)
112 tensor(6.9046, device='cuda:2', grad_fn=<MeanBackward0>)
113 tensor(6.9032, device='cuda:2', grad_fn=<MeanBackward0>)
114 tensor(6.9019, device='cuda:2', grad_fn=<MeanBackward0>)
115 tensor(6.9005, device='cuda:2', grad_fn=<MeanBackward0>)
116 tensor(6.8992, device='cuda:2', grad_fn=<MeanBackward0>)
117 tensor(6.8979, device='cuda:2', grad_fn=<MeanBackward0>)
118 tensor(6.8966, device='cuda:2', grad_fn=<MeanBackward0>)
119 tensor(6.8952, device='cuda:2', grad_fn=<MeanBackward0>)
120 tensor(6.8939, device='cuda:2', grad_fn=<MeanBackward0>)
121 tensor(6.8925, device='cuda:2', grad_fn=<MeanBackward0>)
122 tensor(6.8912, device='cuda:2', grad_fn=<MeanBackward0>)
123 tensor(6.8899, device='cuda:2', grad_fn=<MeanBackward0>)
124 tensor(6.8885, device='cuda:2', grad_fn=<MeanBackward0>)
125 tensor(6.8872, device='cuda:2', grad_fn=<MeanBackward0>)
126 tensor(6.8859, device='cuda:2', grad_fn=<MeanBackward0>)
127 tensor(6.8846, device='cuda:2', grad_fn=<MeanBackward0>)
