nohup: ignoring input
0 tensor(4.5050, device='cuda:0', grad_fn=<AddBackward0>)
11.458364248275757 s
1 tensor(4.2404, device='cuda:0', grad_fn=<AddBackward0>)
2 tensor(3.9469, device='cuda:0', grad_fn=<AddBackward0>)
3 tensor(3.5491, device='cuda:0', grad_fn=<AddBackward0>)
4 tensor(3.4345, device='cuda:0', grad_fn=<AddBackward0>)
5 tensor(3.1598, device='cuda:0', grad_fn=<AddBackward0>)
6 tensor(2.9264, device='cuda:0', grad_fn=<AddBackward0>)
7 tensor(2.7281, device='cuda:0', grad_fn=<AddBackward0>)
8 tensor(2.5084, device='cuda:0', grad_fn=<AddBackward0>)
9 tensor(2.3450, device='cuda:0', grad_fn=<AddBackward0>)
10 tensor(2.1583, device='cuda:0', grad_fn=<AddBackward0>)
11 tensor(2.0293, device='cuda:0', grad_fn=<AddBackward0>)
12 tensor(1.8674, device='cuda:0', grad_fn=<AddBackward0>)
13 tensor(1.7096, device='cuda:0', grad_fn=<AddBackward0>)
14 tensor(1.5989, device='cuda:0', grad_fn=<AddBackward0>)
15 tensor(1.4880, device='cuda:0', grad_fn=<AddBackward0>)
16 tensor(1.3795, device='cuda:0', grad_fn=<AddBackward0>)
17 tensor(1.3811, device='cuda:0', grad_fn=<AddBackward0>)
18 tensor(1.3353, device='cuda:0', grad_fn=<AddBackward0>)
19 tensor(1.2500, device='cuda:0', grad_fn=<AddBackward0>)
20 tensor(1.2258, device='cuda:0', grad_fn=<AddBackward0>)
21 tensor(1.2932, device='cuda:0', grad_fn=<AddBackward0>)
22 tensor(1.1769, device='cuda:0', grad_fn=<AddBackward0>)
23 tensor(1.1574, device='cuda:0', grad_fn=<AddBackward0>)
24 tensor(1.1372, device='cuda:0', grad_fn=<AddBackward0>)
25 tensor(1.1443, device='cuda:0', grad_fn=<AddBackward0>)
26 tensor(1.1202, device='cuda:0', grad_fn=<AddBackward0>)
27 tensor(1.0872, device='cuda:0', grad_fn=<AddBackward0>)
28 tensor(1.0668, device='cuda:0', grad_fn=<AddBackward0>)
29 tensor(1.0437, device='cuda:0', grad_fn=<AddBackward0>)
30 tensor(1.0155, device='cuda:0', grad_fn=<AddBackward0>)
31 tensor(0.9838, device='cuda:0', grad_fn=<AddBackward0>)
32 tensor(0.9704, device='cuda:0', grad_fn=<AddBackward0>)
33 tensor(0.9621, device='cuda:0', grad_fn=<AddBackward0>)
34 tensor(0.9550, device='cuda:0', grad_fn=<AddBackward0>)
35 tensor(0.9484, device='cuda:0', grad_fn=<AddBackward0>)
36 tensor(0.9418, device='cuda:0', grad_fn=<AddBackward0>)
37 tensor(0.9347, device='cuda:0', grad_fn=<AddBackward0>)
38 tensor(0.9251, device='cuda:0', grad_fn=<AddBackward0>)
39 tensor(0.9154, device='cuda:0', grad_fn=<AddBackward0>)
40 tensor(0.9082, device='cuda:0', grad_fn=<AddBackward0>)
41 tensor(0.9020, device='cuda:0', grad_fn=<AddBackward0>)
42 tensor(0.8958, device='cuda:0', grad_fn=<AddBackward0>)
43 tensor(0.8891, device='cuda:0', grad_fn=<AddBackward0>)
44 tensor(0.8795, device='cuda:0', grad_fn=<AddBackward0>)
45 tensor(0.8695, device='cuda:0', grad_fn=<AddBackward0>)
46 tensor(0.8615, device='cuda:0', grad_fn=<AddBackward0>)
47 tensor(0.8549, device='cuda:0', grad_fn=<AddBackward0>)
48 tensor(0.8502, device='cuda:0', grad_fn=<AddBackward0>)
49 tensor(0.8476, device='cuda:0', grad_fn=<AddBackward0>)
50 tensor(0.8438, device='cuda:0', grad_fn=<AddBackward0>)
33.56246280670166 s
51 tensor(0.8407, device='cuda:0', grad_fn=<AddBackward0>)
52 tensor(0.8375, device='cuda:0', grad_fn=<AddBackward0>)
53 tensor(0.8323, device='cuda:0', grad_fn=<AddBackward0>)
54 tensor(0.8311, device='cuda:0', grad_fn=<AddBackward0>)
55 tensor(0.8293, device='cuda:0', grad_fn=<AddBackward0>)
56 tensor(0.8272, device='cuda:0', grad_fn=<AddBackward0>)
57 tensor(0.8246, device='cuda:0', grad_fn=<AddBackward0>)
58 tensor(0.8224, device='cuda:0', grad_fn=<AddBackward0>)
59 tensor(0.8203, device='cuda:0', grad_fn=<AddBackward0>)
60 tensor(0.8185, device='cuda:0', grad_fn=<AddBackward0>)
61 tensor(0.8180, device='cuda:0', grad_fn=<AddBackward0>)
62 tensor(0.8172, device='cuda:0', grad_fn=<AddBackward0>)
63 tensor(0.8161, device='cuda:0', grad_fn=<AddBackward0>)
64 tensor(0.8148, device='cuda:0', grad_fn=<AddBackward0>)
65 tensor(0.8140, device='cuda:0', grad_fn=<AddBackward0>)
66 tensor(0.8111, device='cuda:0', grad_fn=<AddBackward0>)
67 tensor(0.8096, device='cuda:0', grad_fn=<AddBackward0>)
68 tensor(0.8084, device='cuda:0', grad_fn=<AddBackward0>)
69 tensor(0.8071, device='cuda:0', grad_fn=<AddBackward0>)
70 tensor(0.8056, device='cuda:0', grad_fn=<AddBackward0>)
71 tensor(0.8040, device='cuda:0', grad_fn=<AddBackward0>)
72 tensor(0.8030, device='cuda:0', grad_fn=<AddBackward0>)
73 tensor(0.8023, device='cuda:0', grad_fn=<AddBackward0>)
74 tensor(0.8013, device='cuda:0', grad_fn=<AddBackward0>)
75 tensor(0.8004, device='cuda:0', grad_fn=<AddBackward0>)
76 tensor(0.7997, device='cuda:0', grad_fn=<AddBackward0>)
77 tensor(0.7982, device='cuda:0', grad_fn=<AddBackward0>)
78 tensor(0.7971, device='cuda:0', grad_fn=<AddBackward0>)
79 tensor(0.7967, device='cuda:0', grad_fn=<AddBackward0>)
80 tensor(0.7966, device='cuda:0', grad_fn=<AddBackward0>)
81 tensor(0.7964, device='cuda:0', grad_fn=<AddBackward0>)
82 tensor(0.7959, device='cuda:0', grad_fn=<AddBackward0>)
83 tensor(0.7953, device='cuda:0', grad_fn=<AddBackward0>)
84 tensor(0.7951, device='cuda:0', grad_fn=<AddBackward0>)
85 tensor(0.7949, device='cuda:0', grad_fn=<AddBackward0>)
86 tensor(0.7944, device='cuda:0', grad_fn=<AddBackward0>)
87 tensor(0.7937, device='cuda:0', grad_fn=<AddBackward0>)
88 tensor(0.7932, device='cuda:0', grad_fn=<AddBackward0>)
89 tensor(0.7928, device='cuda:0', grad_fn=<AddBackward0>)
90 tensor(0.7922, device='cuda:0', grad_fn=<AddBackward0>)
91 tensor(0.7916, device='cuda:0', grad_fn=<AddBackward0>)
92 tensor(0.7908, device='cuda:0', grad_fn=<AddBackward0>)
93 tensor(0.7901, device='cuda:0', grad_fn=<AddBackward0>)
94 tensor(0.7894, device='cuda:0', grad_fn=<AddBackward0>)
95 tensor(0.7887, device='cuda:0', grad_fn=<AddBackward0>)
96 tensor(0.7882, device='cuda:0', grad_fn=<AddBackward0>)
97 tensor(0.7877, device='cuda:0', grad_fn=<AddBackward0>)
98 tensor(0.7871, device='cuda:0', grad_fn=<AddBackward0>)
99 tensor(0.7864, device='cuda:0', grad_fn=<AddBackward0>)
100 tensor(0.7861, device='cuda:0', grad_fn=<AddBackward0>)
55.5734224319458 s
101 tensor(0.7854, device='cuda:0', grad_fn=<AddBackward0>)
102 tensor(0.7847, device='cuda:0', grad_fn=<AddBackward0>)
103 tensor(0.7839, device='cuda:0', grad_fn=<AddBackward0>)
104 tensor(0.7833, device='cuda:0', grad_fn=<AddBackward0>)
105 tensor(0.7827, device='cuda:0', grad_fn=<AddBackward0>)
106 tensor(0.7821, device='cuda:0', grad_fn=<AddBackward0>)
107 tensor(0.7813, device='cuda:0', grad_fn=<AddBackward0>)
108 tensor(0.7804, device='cuda:0', grad_fn=<AddBackward0>)
109 tensor(0.7797, device='cuda:0', grad_fn=<AddBackward0>)
110 tensor(0.7788, device='cuda:0', grad_fn=<AddBackward0>)
111 tensor(0.7779, device='cuda:0', grad_fn=<AddBackward0>)
112 tensor(0.7767, device='cuda:0', grad_fn=<AddBackward0>)
113 tensor(0.7756, device='cuda:0', grad_fn=<AddBackward0>)
114 tensor(0.7738, device='cuda:0', grad_fn=<AddBackward0>)
115 tensor(0.7731, device='cuda:0', grad_fn=<AddBackward0>)
116 tensor(0.7722, device='cuda:0', grad_fn=<AddBackward0>)
117 tensor(0.7707, device='cuda:0', grad_fn=<AddBackward0>)
