nohup: ignoring input
0 tensor(182.0555, device='cuda:2', grad_fn=<AddBackward0>)
4.851297616958618 s
1 tensor(181.4276, device='cuda:2', grad_fn=<AddBackward0>)
2 tensor(180.9364, device='cuda:2', grad_fn=<AddBackward0>)
3 tensor(180.3792, device='cuda:2', grad_fn=<AddBackward0>)
4 tensor(179.8010, device='cuda:2', grad_fn=<AddBackward0>)
5 tensor(179.2340, device='cuda:2', grad_fn=<AddBackward0>)
6 tensor(178.6619, device='cuda:2', grad_fn=<AddBackward0>)
7 tensor(178.0325, device='cuda:2', grad_fn=<AddBackward0>)
8 tensor(177.3614, device='cuda:2', grad_fn=<AddBackward0>)
9 tensor(176.7056, device='cuda:2', grad_fn=<AddBackward0>)
10 tensor(176.1067, device='cuda:2', grad_fn=<AddBackward0>)
11 tensor(175.5323, device='cuda:2', grad_fn=<AddBackward0>)
12 tensor(174.9590, device='cuda:2', grad_fn=<AddBackward0>)
13 tensor(174.3948, device='cuda:2', grad_fn=<AddBackward0>)
14 tensor(173.8259, device='cuda:2', grad_fn=<AddBackward0>)
15 tensor(173.2193, device='cuda:2', grad_fn=<AddBackward0>)
16 tensor(172.5751, device='cuda:2', grad_fn=<AddBackward0>)
17 tensor(171.9684, device='cuda:2', grad_fn=<AddBackward0>)
18 tensor(171.3405, device='cuda:2', grad_fn=<AddBackward0>)
19 tensor(170.6653, device='cuda:2', grad_fn=<AddBackward0>)
20 tensor(169.9750, device='cuda:2', grad_fn=<AddBackward0>)
21 tensor(169.2898, device='cuda:2', grad_fn=<AddBackward0>)
22 tensor(168.5984, device='cuda:2', grad_fn=<AddBackward0>)
23 tensor(167.8371, device='cuda:2', grad_fn=<AddBackward0>)
24 tensor(167.1066, device='cuda:2', grad_fn=<AddBackward0>)
25 tensor(166.3356, device='cuda:2', grad_fn=<AddBackward0>)
26 tensor(165.5312, device='cuda:2', grad_fn=<AddBackward0>)
27 tensor(164.6835, device='cuda:2', grad_fn=<AddBackward0>)
28 tensor(163.7578, device='cuda:2', grad_fn=<AddBackward0>)
29 tensor(162.7898, device='cuda:2', grad_fn=<AddBackward0>)
30 tensor(161.7751, device='cuda:2', grad_fn=<AddBackward0>)
31 tensor(160.6693, device='cuda:2', grad_fn=<AddBackward0>)
32 tensor(159.7892, device='cuda:2', grad_fn=<AddBackward0>)
33 tensor(158.4765, device='cuda:2', grad_fn=<AddBackward0>)
34 tensor(157.3163, device='cuda:2', grad_fn=<AddBackward0>)
35 tensor(155.9517, device='cuda:2', grad_fn=<AddBackward0>)
36 tensor(154.7044, device='cuda:2', grad_fn=<AddBackward0>)
37 tensor(153.4490, device='cuda:2', grad_fn=<AddBackward0>)
38 tensor(152.1781, device='cuda:2', grad_fn=<AddBackward0>)
39 
