nohup: ignoring input
0 tensor(0.0868, device='cuda:0', grad_fn=<AddBackward0>)
8.899188756942749 s
1 tensor(1.1625, device='cuda:0', grad_fn=<AddBackward0>)
2 tensor(0.7498, device='cuda:0', grad_fn=<AddBackward0>)
3 tensor(0.5535, device='cuda:0', grad_fn=<AddBackward0>)
4 tensor(0.4504, device='cuda:0', grad_fn=<AddBackward0>)
5 tensor(0.3920, device='cuda:0', grad_fn=<AddBackward0>)
6 tensor(0.3600, device='cuda:0', grad_fn=<AddBackward0>)
7 tensor(0.2836, device='cuda:0', grad_fn=<AddBackward0>)
8 tensor(0.2555, device='cuda:0', grad_fn=<AddBackward0>)
9 tensor(0.2826, device='cuda:0', grad_fn=<AddBackward0>)
10 tensor(0.2819, device='cuda:0', grad_fn=<AddBackward0>)
11 tensor(0.2635, device='cuda:0', grad_fn=<AddBackward0>)
12 tensor(0.2301, device='cuda:0', grad_fn=<AddBackward0>)
13 tensor(0.2210, device='cuda:0', grad_fn=<AddBackward0>)
14 tensor(0.2259, device='cuda:0', grad_fn=<AddBackward0>)
15 tensor(0.2275, device='cuda:0', grad_fn=<AddBackward0>)
16 tensor(0.2169, device='cuda:0', grad_fn=<AddBackward0>)
17 tensor(0.2016, device='cuda:0', grad_fn=<AddBackward0>)
18 tensor(0.1916, device='cuda:0', grad_fn=<AddBackward0>)
19 tensor(0.1944, device='cuda:0', grad_fn=<AddBackward0>)
20 tensor(0.1952, device='cuda:0', grad_fn=<AddBackward0>)
21 tensor(0.1875, device='cuda:0', grad_fn=<AddBackward0>)
22 tensor(0.1816, device='cuda:0', grad_fn=<AddBackward0>)
23 tensor(0.1762, device='cuda:0', grad_fn=<AddBackward0>)
24 tensor(0.1745, device='cuda:0', grad_fn=<AddBackward0>)
25 tensor(0.1750, device='cuda:0', grad_fn=<AddBackward0>)
26 tensor(0.1714, device='cuda:0', grad_fn=<AddBackward0>)
27 tensor(0.1649, device='cuda:0', grad_fn=<AddBackward0>)
28 tensor(0.1602, device='cuda:0', grad_fn=<AddBackward0>)
29 tensor(0.1649, device='cuda:0', grad_fn=<AddBackward0>)
30 tensor(0.1651, device='cuda:0', grad_fn=<AddBackward0>)
31 tensor(0.1612, device='cuda:0', grad_fn=<AddBackward0>)
32 tensor(0.1586, device='cuda:0', grad_fn=<AddBackward0>)
33 tensor(0.1547, device='cuda:0', grad_fn=<AddBackward0>)
34 tensor(0.1519, device='cuda:0', grad_fn=<AddBackward0>)
